"","SA2_CODE_2021","SA2_NAME_2021","service_intensity","service_per_capita","rank","SA4 name"
"1","206041505","Melbourne CBD - West",175240,8.14009661835749,1,"Melbourne - Inner"
"2","207021157","Doncaster",118128,4.23337155963303,2,"Melbourne - Inner East"
"3","206041503","Melbourne CBD - East",107874,7.87573921296634,3,"Melbourne - Inner"
"4","207031163","Box Hill",100279,3.76027448627569,4,"Melbourne - Inner East"
"5","209021428","Preston - East",98096,4.34129934501682,5,"Melbourne - North East"
"6","206041119","East Melbourne",96664,18.5109153581003,6,"Melbourne - Inner"
"7","207021159","Templestowe",96072,5.50020037785538,7,"Melbourne - Inner East"
"8","213031348","Footscray",95556,4.60377722104452,8,"Melbourne - West"
"9","206041118","Docklands",86484,4.6579415091291,9,"Melbourne - Inner"
"10","206041117","Carlton",85610,3.5739333722969,10,"Melbourne - Inner"
"11","208021177","Caulfield - North",82981,3.38905452317746,11,"Melbourne - Inner South"
"12","206051128","Albert Park",82171,4.78183193668529,12,"Melbourne - Inner"
"13","212051326","Oakleigh - Huntingdale",78650,3.13296685787126,13,"Melbourne - South East"
"14","206051511","Port Melbourne Industrial",77664,29.7449253159709,14,"Melbourne - Inner"
"15","206041504","Melbourne CBD - North",76939,3.26303066287798,15,"Melbourne - Inner"
"16","207031161","Blackburn",73363,3.12568701802224,16,"Melbourne - Inner East"
"17","207011149","Camberwell",73062,3.30298372513562,17,"Melbourne - Inner East"
"18","208041194","Malvern - Glen Iris",71893,3.31609778597786,18,"Melbourne - Inner South"
"19","213011336","Sunshine",67272,6.65795724465558,19,"Melbourne - West"
"20","211031266","Ringwood",67214,3.42352162175928,20,"Melbourne - Outer East"
"21","207021424","Doncaster East - North",66989,4.09668542074364,21,"Melbourne - Inner East"
"22","206051514","St Kilda - West",66683,4.15237561491998,22,"Melbourne - Inner"
"23","208011169","Brighton (Vic.)",66001,2.73783548346953,23,"Melbourne - Inner South"
"24","207021425","Doncaster East - South",63261,3.78581687612208,24,"Melbourne - Inner East"
"25","206061136","Prahran - Windsor",62950,3.00793195718654,25,"Melbourne - Inner"
