"","SA2_CODE_2021","SA2_NAME_2021","SA4 name","year","population"
"1","206011106","Brunswick East","Melbourne - Inner",2001,7263
"2","206011106","Brunswick East","Melbourne - Inner",2002,7304
"3","206011106","Brunswick East","Melbourne - Inner",2003,7329
"4","206011106","Brunswick East","Melbourne - Inner",2004,7514
"5","206011106","Brunswick East","Melbourne - Inner",2005,7658
"6","206011106","Brunswick East","Melbourne - Inner",2006,7803
"7","206011106","Brunswick East","Melbourne - Inner",2007,8058
"8","206011106","Brunswick East","Melbourne - Inner",2008,8313
"9","206011106","Brunswick East","Melbourne - Inner",2009,8586
"10","206011106","Brunswick East","Melbourne - Inner",2010,8789
"11","206011106","Brunswick East","Melbourne - Inner",2011,8966
"12","206011106","Brunswick East","Melbourne - Inner",2012,9208
"13","206011106","Brunswick East","Melbourne - Inner",2013,9870
"14","206011106","Brunswick East","Melbourne - Inner",2014,10439
"15","206011106","Brunswick East","Melbourne - Inner",2015,11062
"16","206011106","Brunswick East","Melbourne - Inner",2016,11716
"17","206011106","Brunswick East","Melbourne - Inner",2017,12154
"18","206011106","Brunswick East","Melbourne - Inner",2018,12392
"19","206011106","Brunswick East","Melbourne - Inner",2019,12602
"20","206011106","Brunswick East","Melbourne - Inner",2020,13064
"21","206011106","Brunswick East","Melbourne - Inner",2021,12964
"22","206011106","Brunswick East","Melbourne - Inner",2022,13309
"23","206011106","Brunswick East","Melbourne - Inner",2023,13775
"24","206011106","Brunswick East","Melbourne - Inner",2024,14438
"25","206011107","Brunswick West","Melbourne - Inner",2001,12415
"26","206011107","Brunswick West","Melbourne - Inner",2002,12404
"27","206011107","Brunswick West","Melbourne - Inner",2003,12449
"28","206011107","Brunswick West","Melbourne - Inner",2004,12527
"29","206011107","Brunswick West","Melbourne - Inner",2005,12609
"30","206011107","Brunswick West","Melbourne - Inner",2006,12746
"31","206011107","Brunswick West","Melbourne - Inner",2007,12946
"32","206011107","Brunswick West","Melbourne - Inner",2008,13232
"33","206011107","Brunswick West","Melbourne - Inner",2009,13580
"34","206011107","Brunswick West","Melbourne - Inner",2010,13741
"35","206011107","Brunswick West","Melbourne - Inner",2011,13864
"36","206011107","Brunswick West","Melbourne - Inner",2012,13963
"37","206011107","Brunswick West","Melbourne - Inner",2013,14057
"38","206011107","Brunswick West","Melbourne - Inner",2014,14192
"39","206011107","Brunswick West","Melbourne - Inner",2015,14344
"40","206011107","Brunswick West","Melbourne - Inner",2016,14523
"41","206011107","Brunswick West","Melbourne - Inner",2017,14556
"42","206011107","Brunswick West","Melbourne - Inner",2018,14695
"43","206011107","Brunswick West","Melbourne - Inner",2019,14854
"44","206011107","Brunswick West","Melbourne - Inner",2020,15010
"45","206011107","Brunswick West","Melbourne - Inner",2021,14497
"46","206011107","Brunswick West","Melbourne - Inner",2022,14697
"47","206011107","Brunswick West","Melbourne - Inner",2023,15202
"48","206011107","Brunswick West","Melbourne - Inner",2024,15644
"49","206011109","Pascoe Vale South","Melbourne - Inner",2001,8841
"50","206011109","Pascoe Vale South","Melbourne - Inner",2002,8860
"51","206011109","Pascoe Vale South","Melbourne - Inner",2003,8894
"52","206011109","Pascoe Vale South","Melbourne - Inner",2004,8967
"53","206011109","Pascoe Vale South","Melbourne - Inner",2005,9070
"54","206011109","Pascoe Vale South","Melbourne - Inner",2006,9206
"55","206011109","Pascoe Vale South","Melbourne - Inner",2007,9318
"56","206011109","Pascoe Vale South","Melbourne - Inner",2008,9445
"57","206011109","Pascoe Vale South","Melbourne - Inner",2009,9678
"58","206011109","Pascoe Vale South","Melbourne - Inner",2010,9810
"59","206011109","Pascoe Vale South","Melbourne - Inner",2011,9860
"60","206011109","Pascoe Vale South","Melbourne - Inner",2012,9954
"61","206011109","Pascoe Vale South","Melbourne - Inner",2013,10038
"62","206011109","Pascoe Vale South","Melbourne - Inner",2014,10122
"63","206011109","Pascoe Vale South","Melbourne - Inner",2015,10251
"64","206011109","Pascoe Vale South","Melbourne - Inner",2016,10465
"65","206011109","Pascoe Vale South","Melbourne - Inner",2017,10698
"66","206011109","Pascoe Vale South","Melbourne - Inner",2018,10834
"67","206011109","Pascoe Vale South","Melbourne - Inner",2019,10873
"68","206011109","Pascoe Vale South","Melbourne - Inner",2020,10836
"69","206011109","Pascoe Vale South","Melbourne - Inner",2021,10463
"70","206011109","Pascoe Vale South","Melbourne - Inner",2022,10420
"71","206011109","Pascoe Vale South","Melbourne - Inner",2023,10628
"72","206011109","Pascoe Vale South","Melbourne - Inner",2024,10869
"73","206011495","Brunswick - North","Melbourne - Inner",2001,11278
"74","206011495","Brunswick - North","Melbourne - Inner",2002,11235
"75","206011495","Brunswick - North","Melbourne - Inner",2003,11210
"76","206011495","Brunswick - North","Melbourne - Inner",2004,11219
"77","206011495","Brunswick - North","Melbourne - Inner",2005,11237
"78","206011495","Brunswick - North","Melbourne - Inner",2006,11243
"79","206011495","Brunswick - North","Melbourne - Inner",2007,11364
"80","206011495","Brunswick - North","Melbourne - Inner",2008,11510
"81","206011495","Brunswick - North","Melbourne - Inner",2009,11686
"82","206011495","Brunswick - North","Melbourne - Inner",2010,11856
"83","206011495","Brunswick - North","Melbourne - Inner",2011,11981
"84","206011495","Brunswick - North","Melbourne - Inner",2012,12254
"85","206011495","Brunswick - North","Melbourne - Inner",2013,12548
"86","206011495","Brunswick - North","Melbourne - Inner",2014,12922
"87","206011495","Brunswick - North","Melbourne - Inner",2015,13225
"88","206011495","Brunswick - North","Melbourne - Inner",2016,13581
"89","206011495","Brunswick - North","Melbourne - Inner",2017,13728
"90","206011495","Brunswick - North","Melbourne - Inner",2018,13928
"91","206011495","Brunswick - North","Melbourne - Inner",2019,14022
"92","206011495","Brunswick - North","Melbourne - Inner",2020,14124
"93","206011495","Brunswick - North","Melbourne - Inner",2021,13077
"94","206011495","Brunswick - North","Melbourne - Inner",2022,13266
"95","206011495","Brunswick - North","Melbourne - Inner",2023,14065
"96","206011495","Brunswick - North","Melbourne - Inner",2024,14595
"97","206011496","Brunswick - South","Melbourne - Inner",2001,9383
"98","206011496","Brunswick - South","Melbourne - Inner",2002,9671
"99","206011496","Brunswick - South","Melbourne - Inner",2003,9805
"100","206011496","Brunswick - South","Melbourne - Inner",2004,9928
"101","206011496","Brunswick - South","Melbourne - Inner",2005,10147
"102","206011496","Brunswick - South","Melbourne - Inner",2006,10412
"103","206011496","Brunswick - South","Melbourne - Inner",2007,10780
"104","206011496","Brunswick - South","Melbourne - Inner",2008,11131
"105","206011496","Brunswick - South","Melbourne - Inner",2009,11424
"106","206011496","Brunswick - South","Melbourne - Inner",2010,11690
"107","206011496","Brunswick - South","Melbourne - Inner",2011,12006
"108","206011496","Brunswick - South","Melbourne - Inner",2012,12402
"109","206011496","Brunswick - South","Melbourne - Inner",2013,12836
"110","206011496","Brunswick - South","Melbourne - Inner",2014,13233
"111","206011496","Brunswick - South","Melbourne - Inner",2015,13574
"112","206011496","Brunswick - South","Melbourne - Inner",2016,13854
"113","206011496","Brunswick - South","Melbourne - Inner",2017,13984
"114","206011496","Brunswick - South","Melbourne - Inner",2018,14200
"115","206011496","Brunswick - South","Melbourne - Inner",2019,14336
"116","206011496","Brunswick - South","Melbourne - Inner",2020,14235
"117","206011496","Brunswick - South","Melbourne - Inner",2021,13208
"118","206011496","Brunswick - South","Melbourne - Inner",2022,13378
"119","206011496","Brunswick - South","Melbourne - Inner",2023,14286
"120","206011496","Brunswick - South","Melbourne - Inner",2024,15190
"121","206011497","Coburg - East","Melbourne - Inner",2001,9812
"122","206011497","Coburg - East","Melbourne - Inner",2002,10025
"123","206011497","Coburg - East","Melbourne - Inner",2003,10168
"124","206011497","Coburg - East","Melbourne - Inner",2004,10372
"125","206011497","Coburg - East","Melbourne - Inner",2005,10665
"126","206011497","Coburg - East","Melbourne - Inner",2006,10892
"127","206011497","Coburg - East","Melbourne - Inner",2007,11163
"128","206011497","Coburg - East","Melbourne - Inner",2008,11504
"129","206011497","Coburg - East","Melbourne - Inner",2009,11900
"130","206011497","Coburg - East","Melbourne - Inner",2010,12039
"131","206011497","Coburg - East","Melbourne - Inner",2011,12236
"132","206011497","Coburg - East","Melbourne - Inner",2012,12483
"133","206011497","Coburg - East","Melbourne - Inner",2013,12655
"134","206011497","Coburg - East","Melbourne - Inner",2014,12852
"135","206011497","Coburg - East","Melbourne - Inner",2015,13023
"136","206011497","Coburg - East","Melbourne - Inner",2016,13286
"137","206011497","Coburg - East","Melbourne - Inner",2017,13332
"138","206011497","Coburg - East","Melbourne - Inner",2018,13379
"139","206011497","Coburg - East","Melbourne - Inner",2019,13397
"140","206011497","Coburg - East","Melbourne - Inner",2020,13265
"141","206011497","Coburg - East","Melbourne - Inner",2021,12675
"142","206011497","Coburg - East","Melbourne - Inner",2022,12959
"143","206011497","Coburg - East","Melbourne - Inner",2023,13545
"144","206011497","Coburg - East","Melbourne - Inner",2024,13966
"145","206011498","Coburg - West","Melbourne - Inner",2001,13104
"146","206011498","Coburg - West","Melbourne - Inner",2002,13112
"147","206011498","Coburg - West","Melbourne - Inner",2003,13162
"148","206011498","Coburg - West","Melbourne - Inner",2004,13212
"149","206011498","Coburg - West","Melbourne - Inner",2005,13333
"150","206011498","Coburg - West","Melbourne - Inner",2006,13461
"151","206011498","Coburg - West","Melbourne - Inner",2007,13609
"152","206011498","Coburg - West","Melbourne - Inner",2008,13815
"153","206011498","Coburg - West","Melbourne - Inner",2009,13941
"154","206011498","Coburg - West","Melbourne - Inner",2010,13976
"155","206011498","Coburg - West","Melbourne - Inner",2011,13998
"156","206011498","Coburg - West","Melbourne - Inner",2012,14057
"157","206011498","Coburg - West","Melbourne - Inner",2013,14188
"158","206011498","Coburg - West","Melbourne - Inner",2014,14275
"159","206011498","Coburg - West","Melbourne - Inner",2015,14397
"160","206011498","Coburg - West","Melbourne - Inner",2016,14516
"161","206011498","Coburg - West","Melbourne - Inner",2017,14629
"162","206011498","Coburg - West","Melbourne - Inner",2018,14698
"163","206011498","Coburg - West","Melbourne - Inner",2019,14628
"164","206011498","Coburg - West","Melbourne - Inner",2020,14523
"165","206011498","Coburg - West","Melbourne - Inner",2021,14184
"166","206011498","Coburg - West","Melbourne - Inner",2022,14112
"167","206011498","Coburg - West","Melbourne - Inner",2023,14528
"168","206011498","Coburg - West","Melbourne - Inner",2024,14835
"169","206021110","Alphington - Fairfield","Melbourne - Inner",2001,7885
"170","206021110","Alphington - Fairfield","Melbourne - Inner",2002,7924
"171","206021110","Alphington - Fairfield","Melbourne - Inner",2003,7951
"172","206021110","Alphington - Fairfield","Melbourne - Inner",2004,7976
"173","206021110","Alphington - Fairfield","Melbourne - Inner",2005,8032
"174","206021110","Alphington - Fairfield","Melbourne - Inner",2006,8105
"175","206021110","Alphington - Fairfield","Melbourne - Inner",2007,8189
"176","206021110","Alphington - Fairfield","Melbourne - Inner",2008,8270
"177","206021110","Alphington - Fairfield","Melbourne - Inner",2009,8377
"178","206021110","Alphington - Fairfield","Melbourne - Inner",2010,8506
"179","206021110","Alphington - Fairfield","Melbourne - Inner",2011,8561
"180","206021110","Alphington - Fairfield","Melbourne - Inner",2012,8706
"181","206021110","Alphington - Fairfield","Melbourne - Inner",2013,8827
"182","206021110","Alphington - Fairfield","Melbourne - Inner",2014,8944
"183","206021110","Alphington - Fairfield","Melbourne - Inner",2015,9134
"184","206021110","Alphington - Fairfield","Melbourne - Inner",2016,9434
"185","206021110","Alphington - Fairfield","Melbourne - Inner",2017,9473
"186","206021110","Alphington - Fairfield","Melbourne - Inner",2018,9415
"187","206021110","Alphington - Fairfield","Melbourne - Inner",2019,9467
"188","206021110","Alphington - Fairfield","Melbourne - Inner",2020,9538
"189","206021110","Alphington - Fairfield","Melbourne - Inner",2021,9069
"190","206021110","Alphington - Fairfield","Melbourne - Inner",2022,9163
"191","206021110","Alphington - Fairfield","Melbourne - Inner",2023,9494
"192","206021110","Alphington - Fairfield","Melbourne - Inner",2024,9688
"193","206021112","Thornbury","Melbourne - Inner",2001,17056
"194","206021112","Thornbury","Melbourne - Inner",2002,17084
"195","206021112","Thornbury","Melbourne - Inner",2003,17084
"196","206021112","Thornbury","Melbourne - Inner",2004,17118
"197","206021112","Thornbury","Melbourne - Inner",2005,17193
"198","206021112","Thornbury","Melbourne - Inner",2006,17368
"199","206021112","Thornbury","Melbourne - Inner",2007,17622
"200","206021112","Thornbury","Melbourne - Inner",2008,17880
"201","206021112","Thornbury","Melbourne - Inner",2009,18064
"202","206021112","Thornbury","Melbourne - Inner",2010,18177
"203","206021112","Thornbury","Melbourne - Inner",2011,18258
"204","206021112","Thornbury","Melbourne - Inner",2012,18484
"205","206021112","Thornbury","Melbourne - Inner",2013,18773
"206","206021112","Thornbury","Melbourne - Inner",2014,18985
"207","206021112","Thornbury","Melbourne - Inner",2015,19254
"208","206021112","Thornbury","Melbourne - Inner",2016,19578
"209","206021112","Thornbury","Melbourne - Inner",2017,19720
"210","206021112","Thornbury","Melbourne - Inner",2018,19714
"211","206021112","Thornbury","Melbourne - Inner",2019,19729
"212","206021112","Thornbury","Melbourne - Inner",2020,19791
"213","206021112","Thornbury","Melbourne - Inner",2021,19153
"214","206021112","Thornbury","Melbourne - Inner",2022,19189
"215","206021112","Thornbury","Melbourne - Inner",2023,19616
"216","206021112","Thornbury","Melbourne - Inner",2024,19982
"217","206021499","Northcote - East","Melbourne - Inner",2001,12844
"218","206021499","Northcote - East","Melbourne - Inner",2002,12873
"219","206021499","Northcote - East","Melbourne - Inner",2003,12916
"220","206021499","Northcote - East","Melbourne - Inner",2004,13030
"221","206021499","Northcote - East","Melbourne - Inner",2005,13171
"222","206021499","Northcote - East","Melbourne - Inner",2006,13409
"223","206021499","Northcote - East","Melbourne - Inner",2007,13667
"224","206021499","Northcote - East","Melbourne - Inner",2008,13985
"225","206021499","Northcote - East","Melbourne - Inner",2009,14409
"226","206021499","Northcote - East","Melbourne - Inner",2010,14615
"227","206021499","Northcote - East","Melbourne - Inner",2011,14727
"228","206021499","Northcote - East","Melbourne - Inner",2012,14881
"229","206021499","Northcote - East","Melbourne - Inner",2013,15132
"230","206021499","Northcote - East","Melbourne - Inner",2014,15431
"231","206021499","Northcote - East","Melbourne - Inner",2015,15686
"232","206021499","Northcote - East","Melbourne - Inner",2016,15895
"233","206021499","Northcote - East","Melbourne - Inner",2017,16007
"234","206021499","Northcote - East","Melbourne - Inner",2018,16089
"235","206021499","Northcote - East","Melbourne - Inner",2019,16165
"236","206021499","Northcote - East","Melbourne - Inner",2020,16183
"237","206021499","Northcote - East","Melbourne - Inner",2021,15229
"238","206021499","Northcote - East","Melbourne - Inner",2022,15142
"239","206021499","Northcote - East","Melbourne - Inner",2023,15561
"240","206021499","Northcote - East","Melbourne - Inner",2024,15920
"241","206021500","Northcote - West","Melbourne - Inner",2001,8306
"242","206021500","Northcote - West","Melbourne - Inner",2002,8371
"243","206021500","Northcote - West","Melbourne - Inner",2003,8453
"244","206021500","Northcote - West","Melbourne - Inner",2004,8537
"245","206021500","Northcote - West","Melbourne - Inner",2005,8646
"246","206021500","Northcote - West","Melbourne - Inner",2006,8811
"247","206021500","Northcote - West","Melbourne - Inner",2007,9059
"248","206021500","Northcote - West","Melbourne - Inner",2008,9297
"249","206021500","Northcote - West","Melbourne - Inner",2009,9412
"250","206021500","Northcote - West","Melbourne - Inner",2010,9455
"251","206021500","Northcote - West","Melbourne - Inner",2011,9425
"252","206021500","Northcote - West","Melbourne - Inner",2012,9538
"253","206021500","Northcote - West","Melbourne - Inner",2013,9850
"254","206021500","Northcote - West","Melbourne - Inner",2014,10120
"255","206021500","Northcote - West","Melbourne - Inner",2015,10306
"256","206021500","Northcote - West","Melbourne - Inner",2016,10529
"257","206021500","Northcote - West","Melbourne - Inner",2017,10634
"258","206021500","Northcote - West","Melbourne - Inner",2018,10815
"259","206021500","Northcote - West","Melbourne - Inner",2019,10870
"260","206021500","Northcote - West","Melbourne - Inner",2020,10887
"261","206021500","Northcote - West","Melbourne - Inner",2021,10424
"262","206021500","Northcote - West","Melbourne - Inner",2022,10487
"263","206021500","Northcote - West","Melbourne - Inner",2023,10737
"264","206021500","Northcote - West","Melbourne - Inner",2024,10953
"265","206031113","Ascot Vale","Melbourne - Inner",2001,12516
"266","206031113","Ascot Vale","Melbourne - Inner",2002,12595
"267","206031113","Ascot Vale","Melbourne - Inner",2003,12645
"268","206031113","Ascot Vale","Melbourne - Inner",2004,12693
"269","206031113","Ascot Vale","Melbourne - Inner",2005,12782
"270","206031113","Ascot Vale","Melbourne - Inner",2006,12890
"271","206031113","Ascot Vale","Melbourne - Inner",2007,13275
"272","206031113","Ascot Vale","Melbourne - Inner",2008,13671
"273","206031113","Ascot Vale","Melbourne - Inner",2009,13914
"274","206031113","Ascot Vale","Melbourne - Inner",2010,14012
"275","206031113","Ascot Vale","Melbourne - Inner",2011,14135
"276","206031113","Ascot Vale","Melbourne - Inner",2012,14309
"277","206031113","Ascot Vale","Melbourne - Inner",2013,14491
"278","206031113","Ascot Vale","Melbourne - Inner",2014,14870
"279","206031113","Ascot Vale","Melbourne - Inner",2015,15219
"280","206031113","Ascot Vale","Melbourne - Inner",2016,15497
"281","206031113","Ascot Vale","Melbourne - Inner",2017,15683
"282","206031113","Ascot Vale","Melbourne - Inner",2018,15752
"283","206031113","Ascot Vale","Melbourne - Inner",2019,15774
"284","206031113","Ascot Vale","Melbourne - Inner",2020,15784
"285","206031113","Ascot Vale","Melbourne - Inner",2021,15351
"286","206031113","Ascot Vale","Melbourne - Inner",2022,15191
"287","206031113","Ascot Vale","Melbourne - Inner",2023,15729
"288","206031113","Ascot Vale","Melbourne - Inner",2024,16154
"289","206031115","Flemington","Melbourne - Inner",2001,8063
"290","206031115","Flemington","Melbourne - Inner",2002,8071
"291","206031115","Flemington","Melbourne - Inner",2003,8018
"292","206031115","Flemington","Melbourne - Inner",2004,8124
"293","206031115","Flemington","Melbourne - Inner",2005,8240
"294","206031115","Flemington","Melbourne - Inner",2006,8410
"295","206031115","Flemington","Melbourne - Inner",2007,8661
"296","206031115","Flemington","Melbourne - Inner",2008,8841
"297","206031115","Flemington","Melbourne - Inner",2009,9030
"298","206031115","Flemington","Melbourne - Inner",2010,9261
"299","206031115","Flemington","Melbourne - Inner",2011,9547
"300","206031115","Flemington","Melbourne - Inner",2012,9791
"301","206031115","Flemington","Melbourne - Inner",2013,10068
"302","206031115","Flemington","Melbourne - Inner",2014,10311
"303","206031115","Flemington","Melbourne - Inner",2015,10531
"304","206031115","Flemington","Melbourne - Inner",2016,10734
"305","206031115","Flemington","Melbourne - Inner",2017,10666
"306","206031115","Flemington","Melbourne - Inner",2018,10654
"307","206031115","Flemington","Melbourne - Inner",2019,10460
"308","206031115","Flemington","Melbourne - Inner",2020,10270
"309","206031115","Flemington","Melbourne - Inner",2021,9181
"310","206031115","Flemington","Melbourne - Inner",2022,9199
"311","206031115","Flemington","Melbourne - Inner",2023,9786
"312","206031115","Flemington","Melbourne - Inner",2024,10290
"313","206031116","Moonee Ponds","Melbourne - Inner",2001,12608
"314","206031116","Moonee Ponds","Melbourne - Inner",2002,12691
"315","206031116","Moonee Ponds","Melbourne - Inner",2003,12777
"316","206031116","Moonee Ponds","Melbourne - Inner",2004,12830
"317","206031116","Moonee Ponds","Melbourne - Inner",2005,12971
"318","206031116","Moonee Ponds","Melbourne - Inner",2006,13123
"319","206031116","Moonee Ponds","Melbourne - Inner",2007,13287
"320","206031116","Moonee Ponds","Melbourne - Inner",2008,13618
"321","206031116","Moonee Ponds","Melbourne - Inner",2009,14014
"322","206031116","Moonee Ponds","Melbourne - Inner",2010,14164
"323","206031116","Moonee Ponds","Melbourne - Inner",2011,14168
"324","206031116","Moonee Ponds","Melbourne - Inner",2012,14436
"325","206031116","Moonee Ponds","Melbourne - Inner",2013,14666
"326","206031116","Moonee Ponds","Melbourne - Inner",2014,14820
"327","206031116","Moonee Ponds","Melbourne - Inner",2015,14949
"328","206031116","Moonee Ponds","Melbourne - Inner",2016,15158
"329","206031116","Moonee Ponds","Melbourne - Inner",2017,15495
"330","206031116","Moonee Ponds","Melbourne - Inner",2018,15778
"331","206031116","Moonee Ponds","Melbourne - Inner",2019,16093
"332","206031116","Moonee Ponds","Melbourne - Inner",2020,16639
"333","206031116","Moonee Ponds","Melbourne - Inner",2021,16400
"334","206031116","Moonee Ponds","Melbourne - Inner",2022,16591
"335","206031116","Moonee Ponds","Melbourne - Inner",2023,17206
"336","206031116","Moonee Ponds","Melbourne - Inner",2024,17823
"337","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2001,13659
"338","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2002,13645
"339","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2003,13650
"340","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2004,13673
"341","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2005,13776
"342","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2006,13908
"343","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2007,14043
"344","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2008,14215
"345","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2009,14416
"346","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2010,14617
"347","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2011,14803
"348","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2012,15048
"349","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2013,15304
"350","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2014,15730
"351","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2015,16160
"352","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2016,16676
"353","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2017,16833
"354","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2018,16935
"355","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2019,16974
"356","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2020,16920
"357","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2021,16175
"358","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2022,16185
"359","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2023,16630
"360","206031501","Essendon (West) - Aberfeldie","Melbourne - Inner",2024,17156
"361","206031502","Essendon - East","Melbourne - Inner",2001,10309
"362","206031502","Essendon - East","Melbourne - Inner",2002,10288
"363","206031502","Essendon - East","Melbourne - Inner",2003,10275
"364","206031502","Essendon - East","Melbourne - Inner",2004,10352
"365","206031502","Essendon - East","Melbourne - Inner",2005,10391
"366","206031502","Essendon - East","Melbourne - Inner",2006,10487
"367","206031502","Essendon - East","Melbourne - Inner",2007,10540
"368","206031502","Essendon - East","Melbourne - Inner",2008,10639
"369","206031502","Essendon - East","Melbourne - Inner",2009,10846
"370","206031502","Essendon - East","Melbourne - Inner",2010,10958
"371","206031502","Essendon - East","Melbourne - Inner",2011,11042
"372","206031502","Essendon - East","Melbourne - Inner",2012,11121
"373","206031502","Essendon - East","Melbourne - Inner",2013,11327
"374","206031502","Essendon - East","Melbourne - Inner",2014,11574
"375","206031502","Essendon - East","Melbourne - Inner",2015,11905
"376","206031502","Essendon - East","Melbourne - Inner",2016,12270
"377","206031502","Essendon - East","Melbourne - Inner",2017,12507
"378","206031502","Essendon - East","Melbourne - Inner",2018,12611
"379","206031502","Essendon - East","Melbourne - Inner",2019,12698
"380","206031502","Essendon - East","Melbourne - Inner",2020,12763
"381","206031502","Essendon - East","Melbourne - Inner",2021,12314
"382","206031502","Essendon - East","Melbourne - Inner",2022,12297
"383","206031502","Essendon - East","Melbourne - Inner",2023,12668
"384","206031502","Essendon - East","Melbourne - Inner",2024,12946
"385","206041117","Carlton","Melbourne - Inner",2001,9529
"386","206041117","Carlton","Melbourne - Inner",2002,10022
"387","206041117","Carlton","Melbourne - Inner",2003,10611
"388","206041117","Carlton","Melbourne - Inner",2004,11224
"389","206041117","Carlton","Melbourne - Inner",2005,11924
"390","206041117","Carlton","Melbourne - Inner",2006,12737
"391","206041117","Carlton","Melbourne - Inner",2007,13509
"392","206041117","Carlton","Melbourne - Inner",2008,14133
"393","206041117","Carlton","Melbourne - Inner",2009,14687
"394","206041117","Carlton","Melbourne - Inner",2010,14926
"395","206041117","Carlton","Melbourne - Inner",2011,15122
"396","206041117","Carlton","Melbourne - Inner",2012,15605
"397","206041117","Carlton","Melbourne - Inner",2013,16719
"398","206041117","Carlton","Melbourne - Inner",2014,17843
"399","206041117","Carlton","Melbourne - Inner",2015,18983
"400","206041117","Carlton","Melbourne - Inner",2016,20242
"401","206041117","Carlton","Melbourne - Inner",2017,20651
"402","206041117","Carlton","Melbourne - Inner",2018,20831
"403","206041117","Carlton","Melbourne - Inner",2019,21029
"404","206041117","Carlton","Melbourne - Inner",2020,20865
"405","206041117","Carlton","Melbourne - Inner",2021,17064
"406","206041117","Carlton","Melbourne - Inner",2022,18057
"407","206041117","Carlton","Melbourne - Inner",2023,21439
"408","206041117","Carlton","Melbourne - Inner",2024,23954
"409","206041118","Docklands","Melbourne - Inner",2001,154
"410","206041118","Docklands","Melbourne - Inner",2002,926
"411","206041118","Docklands","Melbourne - Inner",2003,1913
"412","206041118","Docklands","Melbourne - Inner",2004,3089
"413","206041118","Docklands","Melbourne - Inner",2005,3779
"414","206041118","Docklands","Melbourne - Inner",2006,4152
"415","206041118","Docklands","Melbourne - Inner",2007,4592
"416","206041118","Docklands","Melbourne - Inner",2008,5040
